wavelength;angle_0;angle_-15;angle_-30;angle_-45;angle_-60;angle_-75;angle_15;angle_30;angle_45;angle_60;angle_75
532;1.75838e-05;1.23585e-05;5.72171e-06;0.0;0.0;0.0;0.0;7.83015e-06;0.0;0.0;0.0
533;1.72443e-05;9.88599e-06;1.04388e-06;0.0;0.0;0.0;1.34546e-06;1.23717e-06;0.0;0.0;0.0
534;1.05607e-05;1.23713e-05;3.62114e-06;0.0;0.0;0.0;2.5147e-07;1.16178e-05;1.00557e-06;0.0;0.0
535;6.13514e-06;1.33262e-05;5.18093e-07;0.0;0.0;0.0;0.0;4.63951e-06;1.7529e-06;0.0;0.0
536;8.65564e-06;4.4643e-06;5.01161e-06;0.0;0.0;0.0;7.21304e-07;2.67551e-06;7.69391e-06;0.0;0.0
537;1.90039e-05;0.0;4.61403e-06;0.0;0.0;0.0;7.07566e-07;3.38925e-07;4.3522e-06;3.0921e-07;0.0
538;9.15694e-06;3.12988e-05;7.57463e-06;2.95523e-07;0.0;0.0;1.83224e-05;0.0;5.78341e-06;0.0;0.0
539;1.4776e-05;1.94571e-05;4.27406e-06;0.0;0.0;0.0;3.89537e-06;4.45185e-07;9.87189e-06;0.0;0.0
540;1.78315e-05;1.23434e-05;3.63842e-07;0.0;0.0;0.0;1.21451e-05;6.18745e-07;5.94999e-06;0.0;0.0
541;2.383e-05;5.62139e-06;1.67803e-07;0.0;0.0;0.0;1.01528e-05;5.53804e-06;6.46093e-06;0.0;0.0
542;3.57431e-05;2.24775e-05;0.0;0.0;0.0;0.0;1.41846e-05;1.24983e-05;2.82741e-07;0.0;0.0
543;7.70008e-06;1.24364e-05;1.13043e-07;0.0;0.0;0.0;6.90909e-06;9.57218e-06;0.0;6.21739e-07;0.0
544;1.32847e-05;2.0112e-06;6.61812e-07;1.257e-07;0.0;0.0;7.79339e-06;1.76735e-06;1.257e-07;2.25727e-06;0.0
545;1.07784e-05;6.80238e-06;6.56589e-07;1.34587e-07;0.0;0.0;1.99668e-05;1.34587e-07;3.28295e-07;1.93708e-07;0.0
546;4.68746e-06;1.06945e-05;1.30071e-07;0.0;0.0;0.0;1.56453e-05;5.21921e-07;2.9356e-06;6.50353e-08;0.0
547;2.12545e-05;2.14072e-05;0.0;7.14968e-08;0.0;0.0;9.58928e-06;3.6298e-06;3.97204e-09;0.0;0.0
548;1.29897e-05;5.04347e-06;0.0;4.99062e-06;0.0;0.0;2.49238e-07;7.44404e-06;2.49238e-07;0.0;0.0
549;1.58458e-05;1.36321e-05;1.39996e-07;3.64514e-06;0.0;0.0;0.0;5.42232e-07;0.0;0.0;0.0
550;1.80387e-05;7.64481e-06;1.1248e-07;1.91216e-06;0.0;0.0;0.0;0.0;2.07801e-07;0.0;0.0
551;1.02097e-05;1.46487e-06;5.51052e-07;0.0;0.0;0.0;0.0;0.0;3.19916e-07;0.0;0.0
552;1.36814e-05;7.68025e-06;2.3589e-08;1.65123e-07;0.0;0.0;5.90789e-07;5.89726e-07;0.0;0.0;0.0
553;1.36393e-05;1.82923e-07;2.27474e-07;1.68378e-06;0.0;0.0;0.0;8.06485e-06;0.0;9.14617e-08;0.0
554;1.73436e-05;3.65664e-06;0.0;1.59178e-07;0.0;0.0;6.35863e-07;1.00204e-05;1.58966e-07;1.59178e-07;0.0
555;1.08298e-05;2.3657e-06;6.78345e-07;0.0;0.0;0.0;7.14792e-06;1.17376e-05;9.11178e-08;0.0;0.0
556;1.02223e-05;1.29761e-05;3.64061e-07;0.0;0.0;0.0;2.46522e-06;8.65963e-07;0.0;0.0;0.0
557;1.83506e-05;1.29741e-05;7.08476e-07;0.0;0.0;0.0;8.18671e-07;1.32839e-06;2.7289e-07;0.0;0.0
558;6.8464e-06;9.63013e-06;6.92239e-06;0.0;0.0;0.0;1.12911e-07;9.36632e-06;1.12911e-07;0.0;0.0
559;6.81427e-06;7.66127e-06;9.93735e-06;1.82499e-07;0.0;0.0;3.21948e-07;9.92705e-06;3.21948e-07;0.0;0.0
560;1.17137e-05;6.19173e-06;9.71342e-06;7.09702e-08;0.0;0.0;7.09702e-08;5.37574e-06;7.09702e-08;0.0;0.0
561;9.18273e-06;1.30527e-05;1.67826e-06;0.0;0.0;0.0;6.5094e-07;8.48258e-06;0.0;0.0;0.0
562;1.51391e-05;5.04506e-06;1.37315e-07;0.0;0.0;0.0;1.71644e-06;2.82404e-06;0.0;0.0;0.0
563;5.34146e-06;9.50016e-06;3.80485e-07;0.0;0.0;0.0;9.08651e-06;5.22568e-06;0.0;0.0;0.0
564;1.31572e-06;3.00732e-06;0.0;0.0;0.0;0.0;2.33068e-05;4.49962e-07;0.0;0.0;0.0
565;1.46992e-05;1.58506e-05;8.48029e-07;0.0;0.0;0.0;1.33052e-05;4.88416e-08;0.0;0.0;0.0
566;4.02321e-06;6.48205e-06;0.0;0.0;0.0;0.0;1.07961e-05;3.08459e-07;0.0;0.0;0.0
567;9.96832e-06;3.32277e-06;9.34838e-08;0.0;0.0;0.0;0.0;1.86968e-07;0.0;9.34838e-08;0.0
568;0.0;0.0;3.31321e-07;0.0;0.0;0.0;1.64911e-07;3.3282e-07;0.0;1.6641e-07;0.0
569;2.03483e-05;9.46432e-07;9.52143e-08;2.36608e-07;0.0;0.0;3.31822e-07;2.36608e-07;0.0;0.0;0.0
570;1.16665e-05;4.74755e-06;0.0;2.38627e-08;0.0;0.0;2.38627e-08;2.38627e-08;0.0;0.0;0.0
571;1.82951e-05;6.05612e-06;4.84853e-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
572;8.44535e-06;8.12087e-06;2.16548e-07;0.0;0.0;0.0;0.0;1.21822e-07;0.0;0.0;0.0
573;0.0;6.80471e-06;3.92613e-07;0.0;0.0;0.0;0.0;1.44479e-07;0.0;0.0;0.0
574;8.14365e-07;1.17971e-05;4.13847e-07;0.0;0.0;0.0;8.14365e-07;0.0;0.0;0.0;0.0
575;3.40688e-07;6.21521e-08;2.95962e-09;3.40688e-07;0.0;0.0;0.0;6.80713e-08;0.0;2.95962e-09;0.0
576;1.55558e-07;5.77988e-06;1.51229e-06;0.0;0.0;0.0;1.55558e-07;6.62665e-06;0.0;2.67825e-07;0.0
577;1.45741e-06;3.86721e-07;6.76469e-06;0.0;0.0;0.0;3.86721e-07;9.11382e-06;0.0;0.0;0.0
578;1.09051e-05;2.28954e-07;9.03145e-06;2.28954e-07;0.0;0.0;4.57907e-07;1.35009e-05;0.0;0.0;0.0
579;1.87064e-05;4.34252e-08;8.50149e-06;4.34252e-08;0.0;0.0;8.68504e-08;2.00036e-06;0.0;0.0;0.0
580;1.00879e-06;1.75725e-06;9.7625e-08;0.0;0.0;0.0;0.0;3.18736e-07;0.0;0.0;0.0
581;1.01815e-05;1.48021e-05;7.31146e-07;0.0;0.0;0.0;5.47159e-07;0.0;0.0;0.0;0.0
582;9.09244e-06;7.58077e-06;1.87456e-07;1.87456e-07;0.0;0.0;8.39816e-07;0.0;0.0;0.0;0.0
583;3.00805e-06;1.39851e-05;9.15771e-08;8.94779e-07;0.0;0.0;5.35468e-07;0.0;0.0;0.0;0.0
584;2.69785e-08;5.14186e-06;7.01819e-07;4.04677e-08;0.0;0.0;2.69785e-08;3.5091e-07;0.0;0.0;0.0
585;4.85004e-06;5.99426e-06;1.02933e-06;6.00112e-07;0.0;0.0;3.31489e-07;3.00056e-07;0.0;0.0;0.0
586;1.76415e-05;1.0724e-05;2.57611e-06;0.0;0.0;0.0;5.94565e-06;2.93417e-07;0.0;0.0;0.0
587;2.04258e-05;6.49619e-06;5.97205e-07;0.0;0.0;0.0;8.30818e-06;2.82443e-07;2.27992e-07;2.27992e-07;0.0
588;9.6598e-06;3.07811e-07;1.20813e-07;0.0;0.0;0.0;2.19775e-06;0.0;3.68218e-07;6.04066e-08;0.0
589;1.95418e-05;0.0;6.9671e-07;3.48355e-07;0.0;0.0;0.0;6.0357e-08;2.78684e-06;0.0;0.0
